year,week,week_start,age,vax,metric,value
2021,33,2021-08-15,50-64,vaxxed,deathrate,0.5109659683890904
2021,33,2021-08-15,50-64,unvaxxed,deathrate,4.831151263346056
2021,33,2021-08-15,65+,vaxxed,caserate,105.79194683143383
2021,33,2021-08-15,65+,unvaxxed,caserate,495.93514345886456
2021,33,2021-08-15,65+,vaxxed,hosprate,14.27866767050027
2021,33,2021-08-15,65+,unvaxxed,hosprate,124.54992187323083
2021,33,2021-08-15,65+,vaxxed,deathrate,2.596121394636413
2021,33,2021-08-15,65+,unvaxxed,deathrate,27.17452840870491
2021,34,2021-08-22,12-17,vaxxed,caserate,40.63606129629036
2021,34,2021-08-22,12-17,unvaxxed,caserate,256.9839648491334
2021,34,2021-08-22,12-17,vaxxed,hosprate,0.534685017056452
2021,34,2021-08-22,12-17,unvaxxed,hosprate,2.026687419945847
2021,34,2021-08-22,12-17,vaxxed,deathrate,0
2021,34,2021-08-22,12-17,unvaxxed,deathrate,0
2021,34,2021-08-22,18-49,vaxxed,caserate,118.9911364824558
2021,34,2021-08-22,18-49,unvaxxed,caserate,411.3514465258565
2021,34,2021-08-22,18-49,vaxxed,hosprate,1.0576989909551626
2021,34,2021-08-22,18-49,unvaxxed,hosprate,16.268718035315473
2021,34,2021-08-22,18-49,vaxxed,deathrate,0
2021,34,2021-08-22,18-49,unvaxxed,deathrate,0.10296656984376884
2021,34,2021-08-22,50-64,vaxxed,caserate,103.96410823451659
2021,34,2021-08-22,50-64,unvaxxed,caserate,305.92442047034734
2021,34,2021-08-22,50-64,vaxxed,hosprate,3.4315781446600835
2021,34,2021-08-22,50-64,unvaxxed,hosprate,36.97987500191012
2021,34,2021-08-22,50-64,vaxxed,deathrate,0.6354774341963116
2021,34,2021-08-22,50-64,unvaxxed,deathrate,3.0561880166867863
2021,34,2021-08-22,65+,vaxxed,caserate,114.41321440233024
2021,34,2021-08-22,65+,unvaxxed,caserate,479.67423562702743
2021,34,2021-08-22,65+,vaxxed,hosprate,15.548794709263454
2021,34,2021-08-22,65+,unvaxxed,hosprate,120.78128235212921
2021,34,2021-08-22,65+,vaxxed,deathrate,4.27591854504745
