age,doses,filed_date,report_date
Unknown/missing,514,2022-02-22,2022-02-24
12-15,411662,2022-02-21,2022-02-23
16-17,224103,2022-02-21,2022-02-23
18-49,3850087,2022-02-21,2022-02-23
5-11,379047,2022-02-21,2022-02-23
50-64,2240313,2022-02-21,2022-02-23
65+,2283991,2022-02-21,2022-02-23
Unknown/missing,507,2022-02-21,2022-02-23
12-15,408686,2022-02-16,2022-02-18
16-17,222896,2022-02-16,2022-02-18
18-49,3838454,2022-02-16,2022-02-18
5-11,373202,2022-02-16,2022-02-18
50-64,2236193,2022-02-16,2022-02-18
65+,2281574,2022-02-16,2022-02-18
Unknown/missing,491,2022-02-16,2022-02-18
12-15,407908,2022-02-15,2022-02-17
16-17,222550,2022-02-15,2022-02-17
18-49,3834448,2022-02-15,2022-02-17
5-11,371792,2022-02-15,2022-02-17
50-64,2235023,2022-02-15,2022-02-17
65+,2282356,2022-02-15,2022-02-17
Unknown/missing,482,2022-02-15,2022-02-17
12-15,407386,2022-02-14,2022-02-16
16-17,222317,2022-02-14,2022-02-16
18-49,3831435,2022-02-14,2022-02-16
5-11,370579,2022-02-14,2022-02-16
50-64,2233769,2022-02-14,2022-02-16
65+,2281512,2022-02-14,2022-02-16
Unknown/missing,482,2022-02-14,2022-02-16
12-15,406839,2022-02-13,2022-02-15
16-17,222117,2022-02-13,2022-02-15
18-49,3829000,2022-02-13,2022-02-15
5-11,369508,2022-02-13,2022-02-15
50-64,2232844,2022-02-13,2022-02-15
65+,2280938,2022-02-13,2022-02-15
Unknown/missing,478,2022-02-13,2022-02-15
12-15,405181,2022-02-10,2022-02-14
16-17,221417,2022-02-10,2022-02-14
18-49,3820896,2022-02-10,2022-02-14
5-11,366335,2022-02-10,2022-02-14
50-64,2230043,2022-02-10,2022-02-14
65+,2279732,2022-02-10,2022-02-14
Unknown/missing,470,2022-02-10,2022-02-14
12-15,404396,2022-02-09,2022-02-11
16-17,221057,2022-02-09,2022-02-11
18-49,3816676,2022-02-09,2022-02-11
5-11,364584,2022-02-09,2022-02-11
50-64,2228540,2022-02-09,2022-02-11
65+,2278714,2022-02-09,2022-02-11
Unknown/missing,464,2022-02-09,2022-02-11
12-15,403421,2022-02-08,2022-02-10
16-17,220658,2022-02-08,2022-02-10
18-49,3811788,2022-02-08,2022-02-10
5-11,362997,2022-02-08,2022-02-10
50-64,2226677,2022-02-08,2022-02-10
65+,2277486,2022-02-08,2022-02-10
Unknown/missing,458,2022-02-08,2022-02-10
12-15,402628,2022-02-07,2022-02-09
16-17,220331,2022-02-07,2022-02-09
18-49,3807720,2022-02-07,2022-02-09
5-11,361244,2022-02-07,2022-02-09
50-64,2225321,2022-02-07,2022-02-09
65+,2278286,2022-02-07,2022-02-09
Unknown/missing,449,2022-02-07,2022-02-09
12-15,401844,2022-02-06,2022-02-08
16-17,220066,2022-02-06,2022-02-08
18-49,3804209,2022-02-06,2022-02-08
